3139,2,0,0,2024-12-18,2,10,100.0,pending,50.0
24121892,2,3,4,2024-12-18,2,10,100.0,canceled,50.0
24121866,1,0,0,2025-03-02,50,10,25000.0,Pending,10000.0
24121851,1,3,4,2026-01-01,14,20,14000.0,Pending,5600.0
24121846,2,3,4,2024-12-18,2,10,100.0,pending,50.0
24121868,1,3,4,0024-12-30,12,12,7200.0,Pending,2880.0
24121976,22222222,3,4,0024-12-14,12,12,7200.0,Pending,3000.0
24121967,22222222,3,4,0012-12-12,1,23,1150.0,Pending,460.0
24121906,22222222,3,4,0023-12-12,12,13,7800.0,Pending,3120.0
24121999,22222222,3,4,0012-12-12,12,12,7200.0,Pending,2880.0
