24121429,Hello Jane! How can I help you today?,1,2,2024-12-14 12:15:25
24121430,Hello Jane! How can I help you today?,1,2,2024-12-14 12:21:03
24121468,Hello Jane! How can I help you today?,1,2,2024-12-14 12:25:35
24121428,Hello Jane! How can I help you today?,1,2,2024-12-14 12:32:51
24121909,1212,22222222,3,2024-12-19 00:22:27
24121924,12,22222222,3,2024-12-19 00:22:30
24121949,12,22222222,3,2024-12-19 00:31:40
24121954,12,22222222,3,2024-12-19 00:31:40
24121954,12,22222222,3,2024-12-19 00:31:40
24121945,12,22222222,3,2024-12-19 00:31:40

24121905,sd,22222222,3,2024-12-19 02:31:25
24121941,sdsdsd,22222222,3,2024-12-19 02:35:14
24121967,sd,22222222,3,2024-12-19 02:36:15
24121918,q,22222222,3,2024-12-19 02:36:17
24121965,q,22222222,3,2024-12-19 02:36:18
24121979,q,22222222,3,2024-12-19 02:36:19
24121966,,22222222,3,2024-12-19 02:36:20
24121986,we,4,3,2024-12-19 02:59:15
24121900,ssd,4,3,2024-12-19 03:04:59
